sensor,rank,channel,wavenumber_cm-1,category,category_rank,peak_pressure_hpa,introduced_at
iasi,32,416,748.75,temperature,19,972.2641754228282,32
iasi,33,332,727.75,temperature,20,891.6786121118214,48
iasi,34,4698,1819.25,humidity,10,628.2634321730304,48
iasi,35,327,726.5,temperature,21,840.0155447833259,48
iasi,36,625,801,window,5,,48
iasi,37,193,693,temperature,22,121.66912346283124,48
iasi,38,4552,1782.75,humidity,11,487.23564418681036,48
iasi,39,398,744.25,temperature,23,790.0168080883487,48
iasi,40,3160,1434.75,humidity,12,415.9139433288835,48
iasi,41,122,675.25,temperature,24,68.79700579962896,48
iasi,42,285,716,temperature,25,765.6450634507773,48
iasi,43,4234,1703.25,humidity,13,351.23618805142735,48
iasi,44,921,875,window,6,,48
iasi,45,439,754.5,temperature,26,718.1625119688192,48
iasi,46,373,738,temperature,27,672.367024711192,48
iasi,47,3509,1522,humidity,14,279.53734381093045,48
iasi,48,279,714.5,temperature,28,650.1035368201636,48
cris-fsr,1,53,682.5,temperature,1,30.670680773259402,32
cris-fsr,2,1473,1684.375,humidity,1,229.28709916482504,32
cris-fsr,3,157,747.5,temperature,2,999.9423456733634,32
cris-fsr,4,291,831.25,window,1,,32
cris-fsr,5,102,713.125,temperature,3,506.11488296077454,32
cris-fsr,6,908,1331.25,humidity,2,790.0168080883487,32
cris-fsr,7,134,733.125,temperature,4,741.693302719632,32
cris-fsr,8,85,702.5,temperature,5,307.0142235269159,32
cris-fsr,9,1022,1402.5,humidity,3,506.11488296077454,32
cris-fsr,10,118,723.125,temperature,6,865.6398111647356,32
cris-fsr,11,80,699.375,temperature,7,146.7807991024497,32
cris-fsr,12,400,899.375,window,2,,32
cris-fsr,13,906,1330,humidity,4,650.1035368201636,32
cris-fsr,14,127,728.75,temperature,8,628.2634321730304,32
cris-fsr,15,94,708.125,temperature,9,415.9139433288835,32
cris-fsr,16,150,743.125,temperature,10,944.9927438414445,32
cris-fsr,17,1570,1745,humidity,5,366.7888888123879,32
cris-fsr,18,67,691.25,temperature,11,92.77805221179376,32
cris-fsr,19,151,743.75,temperature,12,814.8073980647894,32
cris-fsr,20,470,943.125,window,3,,32
cris-fsr,21,718,1212.5,humidity,6,718.1625119688192,32
cris-fsr,22,90,705.625,temperature,13,366.7888888123879,32
cris-fsr,23,132,731.875,temperature,14,695.0535252736856,32
cris-fsr,24,1053,1421.875,humidity,7,433.1175265029067,32
cris-fsr,25,104,714.375,temperature,15,585.8540788123461,32
cris-fsr,26,101,712.5,temperature,16,545.1387969818408,32
cris-fsr,27,1030,1407.5,humidity,8,565.2847881871458,32
cris-fsr,28,713,1095,window,4,,32
cris-fsr,29,99,711.25,temperature,17,468.7770724342657,32
cris-fsr,30,87,703.75,temperature,18,336.091113713203,32
cris-fsr,31,1112,1458.75,humidity,9,279.53734381093045,32
