track_id,year,month,day,hour,lon,lat,msl,wind_speed,lon_ib,lat_ib,msl_ib,wind_speed_ib,type
0,2017,8,20,6,127.5,20.25,100042.6,11.14135,127.0,19.8,100700,20,LO
0,2017,8,20,12,126.25,20.0,99920.69,13.37682,126.5,19.5,100400,25,LO
0,2017,8,20,18,124.75,19.75,99411.19,14.71875,125.6,19.6,100000,30,LO
0,2017,8,21,0,124.75,20.0,99353.5,15.51507,125.0,20.0,100000,30,TD
0,2017,8,21,6,124.0,20.25,99140.69,17.40358,124.0,20.4,99600,35,TS
0,2017,8,21,12,123.0,20.25,99114.25,19.19828,122.7,20.1,98900,45,TS
0,2017,8,21,18,121.75,20.5,98904.0,20.54659,121.3,20.0,98900,45,TS
0,2017,8,22,0,120.25,20.0,99026.25,20.57231,119.9,20.1,98500,50,TS
0,2017,8,22,6,118.75,20.5,98515.25,21.76146,118.6,20.4,98100,60,TS
0,2017,8,22,12,117.5,20.75,98860.81,19.70913,117.3,20.6,96700,75,TY
0,2017,8,22,18,115.75,21.0,98629.56,20.3585,115.9,21.0,96300,80,TY
0,2017,8,23,0,114.5,21.5,98447.94,23.96312,114.5,21.5,95600,90,TY
0,2017,8,23,6,113.25,22.5,98561.62,21.51315,112.8,22.2,96400,85,TY
0,2017,8,23,12,111.0,23.0,99105.94,11.8202,111.0,22.7,97800,60,TS
0,2017,8,23,18,109.0,23.25,99294.94,12.52222,109.0,23.3,98900,45,TS
0,2017,8,24,0,107.75,23.0,99549.06,14.2229,107.6,23.5,99600,35,TS
0,2017,8,24,6,106.5,23.75,99834.75,10.76084,106.0,23.8,100000,30,TD
